简单搜索冲顶神器	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BC%F2%B5%A5%CB%D1%CB%F7%B3%E5%B6%A5%C9%F1%C6%F7	393860
情侣婚前聊天曝光	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C7%E9%C2%C2%BB%E9%C7%B0%C1%C4%CC%EC%C6%D8%B9%E2	314248
王杰报警抓网友	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CD%F5%BD%DC%B1%A8%BE%AF%D7%A5%CD%F8%D3%D1	242406
大爷制作共享板凳	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B4%F3%D2%AF%D6%C6%D7%F7%B9%B2%CF%ED%B0%E5%B5%CA	174973
劳斯莱斯撞死路人	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C0%CD%CB%B9%C0%B3%CB%B9%D7%B2%CB%C0%C2%B7%C8%CB	170620
开庭前砍死老婆	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BF%AA%CD%A5%C7%B0%BF%B3%CB%C0%C0%CF%C6%C5	145334
掘洞7年挖出水井	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BE%F2%B6%B47%C4%EA%CD%DA%B3%F6%CB%AE%BE%AE	138477
李小璐风波后现身	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C0%EE%D0%A1%E8%B4%B7%E7%B2%A8%BA%F3%CF%D6%C9%ED	127503
男孩寒冬送快递	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C4%D0%BA%A2%BA%AE%B6%AC%CB%CD%BF%EC%B5%DD	122890
违规穿无人区失联	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CE%A5%B9%E6%B4%A9%CE%DE%C8%CB%C7%F8%CA%A7%C1%AA	108003
两小学生家长厮打	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C1%BD%D0%A1%D1%A7%C9%FA%BC%D2%B3%A4%D8%CB%B4%F2	107293
独臂男孩成主力	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B6%C0%B1%DB%C4%D0%BA%A2%B3%C9%D6%F7%C1%A6	107281
警方通报现金墙案	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%BE%AF%B7%BD%CD%A8%B1%A8%CF%D6%BD%F0%C7%BD%B0%B8	104191
未救回老人痛哭	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CE%B4%BE%C8%BB%D8%C0%CF%C8%CB%CD%B4%BF%DE	103289
凌潇肃发文道歉	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C1%E8%E4%EC%CB%E0%B7%A2%CE%C4%B5%C0%C7%B8	102601
男模遇劫被杀身亡	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C4%D0%C4%A3%D3%F6%BD%D9%B1%BB%C9%B1%C9%ED%CD%F6	102015
秘鲁7.3级地震	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C3%D8%C2%B37.3%BC%B6%B5%D8%D5%F0	101180
菲律宾火山将喷发	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B7%C6%C2%C9%B1%F6%BB%F0%C9%BD%BD%AB%C5%E7%B7%A2	101022
做推拿被推成骨折	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D7%F6%CD%C6%C4%C3%B1%BB%CD%C6%B3%C9%B9%C7%D5%DB	99815
收楼发现是墓景房	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CA%D5%C2%A5%B7%A2%CF%D6%CA%C7%C4%B9%BE%B0%B7%BF	99488
日本中部地区大雪	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C8%D5%B1%BE%D6%D0%B2%BF%B5%D8%C7%F8%B4%F3%D1%A9	98248
夏威夷误报导弹	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CF%C4%CD%FE%D2%C4%CE%F3%B1%A8%B5%BC%B5%AF	97334
张靓颖晒母亲合影	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D5%C5%F6%A6%D3%B1%C9%B9%C4%B8%C7%D7%BA%CF%D3%B0	96906
统一规范特色小镇	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%CD%B3%D2%BB%B9%E6%B7%B6%CC%D8%C9%AB%D0%A1%D5%F2	96691
出租围堵巴士误机	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%B3%F6%D7%E2%CE%A7%B6%C2%B0%CD%CA%BF%CE%F3%BB%FA	95992
印度搭火车像打仗	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%D3%A1%B6%C8%B4%EE%BB%F0%B3%B5%CF%F1%B4%F2%D5%CC	95665
曼宁竞选美参议员	http://www.baidu.com/baidu?cl=3&tn=SE_baiduhomet8_jmjb7mjw&fr=top1000&wd=%C2%FC%C4%FE%BE%BA%D1%A1%C3%C0%B2%CE%D2%E9%D4%B1	94548
